,prices,market_caps,total_volumes,dates
0,876.890258814416,84822222588.5437,2720973272.07018,2018-01-02 00:00:00.000
1,963.0557506903511,93178531120.43204,2308657205.9772067,2018-01-03 00:00:00.000
2,978.416104183522,94681149308.52457,2756635496.077742,2018-01-04 00:00:00.000
3,1004.8949722625625,97269228886.25314,2894788528.9368753,2018-01-05 00:00:00.000
4,1052.02336010703,101852997666.87328,1824841952.503006,2018-01-06 00:00:00.000
5,1137.6549188901813,110167827718.61086,2286423001.2638764,2018-01-07 00:00:00.000
6,1184.92393027798,114769005376.76157,4813539670.332469,2018-01-08 00:00:00.000
7,1361.4396682787146,131894965357.881,4248463429.84743,2018-01-09 00:00:00.000
8,1345.5876017375906,130387621608.28636,5901388488.269492,2018-01-10 00:00:00.000
9,1181.6514100305303,114526940296.8931,3701485302.9898286,2018-01-11 00:00:00.000
10,1315.6187580839762,127538307119.98058,2569674473.5809693,2018-01-12 00:00:00.000
11,1448.1800861342022,140419500475.92773,3149029707.9682436,2018-01-13 00:00:00.000
12,1410.0002145085193,136747164703.8492,2771837301.4899707,2018-01-14 00:00:00.000
13,1329.6713965043375,128980953671.9811,2438212396.6501827,2018-01-15 00:00:00.000
14,1068.6004106894156,103677753320.31013,5197858118.489889,2018-01-16 00:00:00.000
15,1022.3652131699663,99216267384.45854,5505023202.5208645,2018-01-17 00:00:00.000
16,1036.072312788025,100567876886.70789,3220457431.1306267,2018-01-18 00:00:00.000
17,1046.8985973958734,101640355096.62448,2067139497.7426836,2018-01-19 00:00:00.000
18,1172.9172062239459,113899479853.58607,1927757662.931302,2018-01-20 00:00:00.000
19,1053.6332024800395,102337202453.45827,1834167990.4392762,2018-01-21 00:00:00.000
20,1000.3871327788332,97186332455.0951,2128266201.553245,2018-01-22 00:00:00.000
21,991.665320638703,96359326865.87158,2162095341.3385787,2018-01-23 00:00:00.000
22,1056.8792325682198,102717867498.02875,1871168506.347743,2018-01-24 00:00:00.000
23,1059.3154960264808,102976145173.28937,2098100041.2531192,2018-01-25 00:00:00.000
24,1048.7989058434846,101975238868.2182,2126139932.407397,2018-01-26 00:00:00.000
25,1095.7825142892807,106559849459.01985,1592501816.2673755,2018-01-27 00:00:00.000
26,1237.3241758467964,120356395893.4201,3105991887.223209,2018-01-28 00:00:00.000
27,1169.6342569193446,113796120454.081,2005499364.9335327,2018-01-29 00:00:00.000
28,1161.9086430994253,113043826616.74722,2006770995.7220535,2018-01-30 00:05:11.070
29,1058.0960529662955,102965815556.0668,2570454739.6687236,2018-01-31 00:00:00.000
30,1106.1381723552724,107663538775.87933,2148302756.922482,2018-02-01 00:00:00.000
31,1021.2693786534147,99423764457.44884,3414246407.713859,2018-02-02 00:00:00.000
32,914.6388425021536,89061856063.48083,4640850229.358906,2018-02-03 00:00:00.000
33,941.8032295185238,91725607014.4353,1878004123.5207362,2018-02-04 00:00:00.000
34,834.8891703333355,81329819333.7154,1882681773.9790668,2018-02-05 00:00:00.000
35,684.3133397266745,66675677460.41152,2941430688.7490797,2018-02-06 00:00:00.000
36,785.7389155049871,76574516020.88303,5021975963.611412,2018-02-07 00:00:00.000
37,751.8878893661607,73290929917.86972,2635662719.4442654,2018-02-08 00:05:23.681
38,807.8227505154956,78759712266.80615,2256661883.3019075,2018-02-09 00:00:00.000
39,871.3268829432668,84968804616.78447,1609823406.4155498,2018-02-10 00:00:00.000
40,854.3498784217315,83330877020.24867,1811750053.1438994,2018-02-11 00:00:00.000
41,817.2905243571003,79732678121.41658,1606757570.924482,2018-02-12 00:00:00.000
42,862.7487725902944,84185155652.77072,1342080234.6450908,2018-02-13 00:00:00.000
43,833.7791837295838,81375375877.96892,1215799275.6549883,2018-02-14 00:00:00.000
44,915.0765430188819,89328231140.60481,1659598861.037234,2018-02-15 00:00:00.000
45,928.2935214045194,90637629785.66489,1674187629.7427762,2018-02-16 00:00:00.000
46,934.6767104527537,91279135809.19406,1274489447.9994729,2018-02-17 00:00:00.000
47,964.2765079107337,94190008583.4062,1331103327.3327596,2018-02-18 00:00:00.000
48,915.0920469360246,89404389580.2483,1443742228.731157,2018-02-19 00:00:00.000
49,928.2902425457683,90713108252.71552,1113969168.9102838,2018-02-20 00:00:00.000
50,902.9690554385094,88256609941.35635,1376504167.75521,2018-02-21 00:00:00.000
51,809.1296597083212,79118626282.25874,1249190216.7073753,2018-02-22 00:00:00.000
52,812.4468626177468,79442544254.30933,1255677307.494043,2018-02-23 00:00:00.000
53,864.6697536212578,84567348658.27484,1553348119.733452,2018-02-24 00:00:00.000
54,828.7233989886703,81068136131.60957,1133793473.7387242,2018-02-25 00:00:00.000
55,842.6280247519165,82445384433.1456,971919367.4852569,2018-02-26 00:00:00.000
56,863.6502752378826,84519903484.51317,1273600054.5671887,2018-02-27 00:00:00.000
57,869.2632438249697,85086932065.08655,1185779363.0730155,2018-02-28 00:00:00.000
58,846.3652117960792,82862945950.985,1088578648.6068828,2018-03-01 00:00:00.000
59,855.6787797305122,83792455743.35178,1046744161.7080027,2018-03-02 00:00:00.000
60,850.4429895810156,83297136123.66147,1065182064.2918291,2018-03-03 00:00:00.000
61,844.2552535175925,82708301723.55193,968839520.3151623,2018-03-04 00:00:00.000
62,843.7565763098702,82676499793.85762,921438207.058072,2018-03-05 00:00:00.000
63,840.1509954642488,82340571913.28821,996644678.1014967,2018-03-06 00:00:00.000
64,808.4491332246333,79250313700.00667,1163651036.9598706,2018-03-07 00:00:00.000
65,752.5931712474129,73790376421.96692,1517892302.80913,2018-03-08 00:00:00.000
66,699.1898984866136,68568491974.3163,1253573581.5186775,2018-03-09 00:00:00.000
67,710.8916532666208,69730146644.19576,1559125766.2324708,2018-03-10 00:00:00.000
68,684.934340074043,67198010840.67886,1019304765.7600274,2018-03-11 00:00:00.000
69,713.1953300017516,69985307146.27713,1044019470.3085319,2018-03-12 00:00:00.000
70,695.3142030222126,68245214878.500916,1041451579.0783635,2018-03-13 00:00:00.000
71,684.6415843660401,67211282137.89535,914239003.1825721,2018-03-14 00:00:00.000
72,608.3931488499501,59738408621.9634,1222860953.9396286,2018-03-15 00:00:00.000
73,612.4435397197692,60148621435.96764,1314501765.2298925,2018-03-16 00:00:00.000
74,607.879487479319,59712695037.709236,939394446.556439,2018-03-17 00:00:00.000
75,560.1094330840288,55031620530.236534,922526847.9439002,2018-03-18 00:00:00.000
76,538.6905900543026,52938616457.57076,2515158736.529607,2018-03-19 00:00:00.000
77,555.0775482373977,54560292401.575806,1668238269.8238573,2018-03-20 00:00:00.000
78,554.2098259834895,54486305509.98849,1363997499.3256834,2018-03-21 00:00:00.000
79,561.1465342247278,55179662649.949524,1242490235.347,2018-03-22 00:00:00.000
80,537.7059724380829,52885690223.31916,1029637021.1311402,2018-03-23 00:00:00.000
81,538.109029163154,52936241666.49759,1024506177.6381531,2018-03-24 00:00:00.000
82,519.4855998398031,51114768972.69823,722258331.0537022,2018-03-25 00:00:00.000
83,519.3780445915389,51114766847.01147,654302263.778145,2018-03-26 00:00:00.000
84,487.5396120553992,47991343456.18946,1130010306.3489618,2018-03-27 00:00:00.000
85,449.05225249207564,44211929435.11478,1205007525.3029315,2018-03-28 00:00:00.000
86,443.9491009578748,43718505250.02615,899161524.3411528,2018-03-29 00:00:00.000
87,385.32709566886405,37953505528.35885,1501135895.8124254,2018-03-30 00:00:00.000
88,395.32626329061816,38946452754.23128,1552652584.610018,2018-03-31 00:00:00.000
89,395.79638095782116,39000868214.27854,970454263.2346877,2018-04-01 00:00:00.000
90,379.1235134110076,37365640069.82155,928418706.5875922,2018-04-02 00:00:00.000
91,384.8259822881638,37935548084.04267,725811930.9112238,2018-04-03 00:00:00.000
92,415.7162339703384,40989129292.88682,938277656.037438,2018-04-04 00:00:00.000
93,380.28195959120734,37503095784.24193,888566484.4804863,2018-04-05 00:00:00.000
94,384.46448544618835,37923466118.640205,767721856.0504649,2018-04-06 00:00:00.000
95,369.9138976693199,36495759521.398056,590720199.8519591,2018-04-07 00:00:00.000
96,383.44636088273523,37838661360.00252,549082514.9320759,2018-04-08 00:00:00.000
97,396.98175550697044,39182417250.92415,565597670.5997823,2018-04-09 00:00:00.000
98,398.77335502107474,39367328706.210175,1095742137.015535,2018-04-10 00:00:00.000
99,412.6893456266917,40749602575.92843,687260482.4501439,2018-04-11 00:00:00.000
100,427.3849460078481,42209337332.354004,816313720.2347212,2018-04-12 00:00:00.000
101,488.60548934434905,48265439663.55072,1871680188.8730233,2018-04-13 00:00:00.000
102,488.99218126708564,48313044128.328636,1771917382.798235,2018-04-14 00:00:00.000
103,495.11291363236046,48928578121.79471,960941082.4787031,2018-04-15 00:00:00.000
104,525.5274445398754,51944970387.794846,1113471501.5870776,2018-04-16 00:00:00.000
105,507.11031309582995,50134949937.02363,952394918.7009709,2018-04-17 00:00:00.000
106,498.46700764950907,49290625426.76034,834810907.6434356,2018-04-18 00:00:00.000
107,517.3740431959737,51170694522.39032,827471474.463687,2018-04-19 00:00:00.000
108,566.3920838512778,56030501148.69197,1223410365.7024539,2018-04-20 00:00:00.000
109,590.27192246768,58403874540.99289,1477100076.3424082,2018-04-21 00:00:00.000
110,600.2596767733208,59405441433.091866,1412079787.2669172,2018-04-22 00:00:00.000
111,617.2024078855728,61094825885.43238,1226887273.8293471,2018-04-23 00:00:00.000
112,636.3671638965957,63004894796.41469,1175262573.641298,2018-04-24 00:00:00.000
113,705.0276448443027,69817174451.75433,2013232706.0861015,2018-04-25 00:00:00.000
114,613.7267252906634,60788471582.80268,2772144667.1931686,2018-04-26 00:00:00.000
115,657.0577934851548,65093958669.996185,1616604527.0569918,2018-04-27 00:00:00.000
116,641.9936056225328,63614677083.81106,1327872538.0128767,2018-04-28 00:00:00.000
117,672.5969368274542,66660769651.39336,1170961463.496074,2018-04-29 00:00:00.000
118,680.1204953886593,67420561666.31582,1180427164.5645165,2018-04-30 00:00:00.000
