,prices,market_caps,total_volumes,dates
0,2.45529,95115834951.3906,3206290000.0,2018-01-02 00:00:00.000
1,3.12571,121087332439.71637,6678660000.0,2018-01-03 00:00:00.000
2,3.22005,124741983364.58235,8104150000.0,2018-01-04 00:00:00.000
3,2.93138,113559154421.59886,6173580000.0,2018-01-05 00:00:00.000
4,3.09163,119767102383.33061,2833080000.0,2018-01-06 00:00:00.000
5,3.39845,131653046805.28716,2412330000.0,2018-01-07 00:00:00.000
6,2.4485,94852796157.8795,3307200000.0,2018-01-08 00:00:00.000
7,2.14126,82950581295.08722,3717140000.0,2018-01-09 00:00:00.000
8,1.95614,75779186818.30954,4840510000.0,2018-01-10 00:00:00.000
9,1.93361,74906393930.77771,6211300000.0,2018-01-11 00:00:00.000
10,2.02577,78476593332.23947,3325760000.0,2018-01-12 00:00:00.000
11,2.0225,78349916335.2475,2165090000.0,2018-01-13 00:00:00.000
12,1.86561,72272132219.62971,1990660000.0,2018-01-14 00:00:00.000
13,1.66706,64580475414.50566,1798380000.0,2018-01-15 00:00:00.000
14,1.19515,46299086530.56665,5720560000.0,2018-01-16 00:00:00.000
15,1.29116,50018431631.85076,7145750000.0,2018-01-17 00:00:00.000
16,1.61161,62432389945.63571,9205920000.0,2018-01-18 00:00:00.000
17,1.54157,59719100383.15327,3689240000.0,2018-01-19 00:00:00.000
18,1.58205,61287260884.14255,2348780000.0,2018-01-20 00:00:00.000
19,1.38127,53509215790.54997,2835820000.0,2018-01-21 00:00:00.000
20,1.30411,50520103531.25321,2445750000.0,2018-01-22 00:00:00.000
21,1.34234,52001100960.91774,3071850000.0,2018-01-23 00:00:00.000
22,1.33309,51642763889.91599,1819990000.0,2018-01-24 00:00:00.000
23,1.30965,50734718382.42615,1006410000.0,2018-01-25 00:00:00.000
24,1.21336,47004526321.15496,2043480000.0,2018-01-26 00:00:00.000
25,1.23119,47695245237.47509,772842000.0,2018-01-27 00:00:00.000
26,1.41666,54880194054.63126,1307040000.0,2018-01-28 00:00:00.000
27,1.31967,51122884593.39237,1093900000.0,2018-01-29 00:00:00.000
28,1.31231,50837764502.30341,1249430000.0,2018-01-30 00:05:14.355
29,1.13747,44064612773.22817,1106340000.0,2018-01-31 00:00:00.000
30,1.14397,44316417201.49967,1262330000.0,2018-02-01 00:00:00.000
31,0.958196,37378474579.108246,1403940000.0,2018-02-02 00:00:00.000
32,0.896766,34982138450.17991,3559920000.0,2018-02-03 00:00:00.000
33,0.919951,35886567119.38394,2021760000.0,2018-02-04 00:00:00.000
